v1,v2,text,label_url_v1,label_url_v2
/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s0_vf0.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s0_vf0.wav,Chính vì thế mà tôi vất vả.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s0_vf0.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s0_vf0.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s1_vf0.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s1_vf0.wav,Tiếp cận với biên giới của Liên bang Nga.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s1_vf0.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s1_vf0.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s2_vf0.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s2_vf0.wav,Nhưng bù lại tôi thấy vui và thỏa mãn.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s2_vf0.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s2_vf0.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s3_vf0.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s3_vf0.wav,"Khi về nhà, tôi làm mọi việc rất nhanh.",https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s3_vf0.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s3_vf0.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s4_vf0.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s4_vf0.wav,Bí quyết của tôi là sự gọn gàng.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s4_vf0.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s4_vf0.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s5_vm2.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s5_vm2.wav,Hướng các em làm theo lẽ phải.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s5_vm2.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s5_vm2.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s6_vm2.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s6_vm2.wav,Khi càng gắn bó tôi càng thấy yêu nghề này.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s6_vm2.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s6_vm2.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s7_vm2.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s7_vm2.wav,Những nhà giáo mặc áo lính như chúng tôi.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s7_vm2.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s7_vm2.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s8_vm2.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s8_vm2.wav,Hy vọng đội tuyển sẽ giành kết quả tốt.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s8_vm2.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s8_vm2.wav
/data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s9_vm2.wav,/data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s9_vm2.wav,Hoa Kỳ phải chịu trách nhiệm về mọi thứ.,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version0/s9_vm2.wav,https://api.zalo.ai/ailab_video/label_supplier/tts_compare//data/luonghc/benchmark_zalotts_v2/compare_231127/version1/s9_vm2.wav
